eb727f972742f7ff6b07ee761ae5da1b,c82c51bc925071ff17983d79b472c9f8,87a4ccc2101bb6109d397e91e9291624,d08c1bbf135ff7e0c8324fbc890e9916,b496d19eb25556bd64e481d11b6f7dd6,6f50051fef25e2633f4d3073104d7a2c,6ae8abe8c2cf3bcf9cc6df31f4d06d4d,e65bd9b13ec4a97ac7b912f37c3e36d4,9a7670be67a118ddd4b30f5cdd3b035e,007a81eb198c0128bd7a4b276498983c
1.,0.21963291897833395,0.6133480147727963,0.6231246503749011,0.04333421151759569,0.28918479087794946,0.17941159724346645,0.004716621518988564,0.002889805245751663,0.06352296001495165
2.64640560622328,1.,0.11043841255198664,0.10134341605975217,0.09105655448276931,1.249721898146892,0.45926728398172084,0.0341551711440742,0.024965213043461408,0.2589467401036438
1.876737380766539,0.0280451470468095,1.,0.13193709650589733,0.028362577992045033,0.032124011657836016,0.1277455316057872,0.0028593392121216295,0.001596505405184607,0.0014365595800659272
1.871383980152949,0.025259487825519074,0.1294965974827942,1.,0.027425911685260394,0.03229927853496613,0.12742388292713086,0.002784229013946263,0.0016476414237631338,0.0013795555280760805
0.18072632631021138,0.03151684677251659,0.03865802695215288,0.03808584710120138,1.,0.04464545643584945,0.014631839494496207,0.18702902487942635,0.13878346380107193,0.0030520730619336056
2.2584214902815916,0.8099980153695809,0.0819903582132297,0.083991317869964,0.08360192835735406,1.,0.4926543552588938,0.007560437020642669,0.00640734162523646,0.19240740694218697
5.812761855132882,1.2349192287649817,1.3526367899947889,1.3746586763939552,0.1136685773840542,2.0438301198540905,1.,0.010734757686294946,0.005539343408025013,0.24100052110474204
0.051191947545928734,0.03076579313041596,0.010142377331350245,0.010062076237160553,0.4867311170231337,0.010507223607125152,0.003596092478929691,1.,0.8482064925180328,0.0006284433458323732
0.026257102438796268,0.018825847031589776,0.004740804826151004,0.004984859821825239,0.30236075712582133,0.007454637921762106,0.0015534758107886922,0.7100831248392452,1.,0.0006415577431196951
5.9958402914832245,2.028480340063762,0.04431455897980872,0.04335812964930925,0.06907545164718384,2.3254744193107637,0.7021102170942766,0.005465310459996963,0.006664642477607409,1.
